election_name;property_short_name;value
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";sum_proj_cost;16389184.0
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";fund_scarc;6.2330485156124915
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";avg_proj_cost;180100.92307692306
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";med_proj_cost;100000.0
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";sd_proj_cost;178688.07424839094
"Warszawa, Bielany, Bielany, 2022-06";sum_proj_cost;21285057.0
"Warszawa, Bielany, Bielany, 2022-06";fund_scarc;4.04751063074822
"Warszawa, Bielany, Bielany, 2022-06";avg_proj_cost;217194.45918367346
"Warszawa, Bielany, Bielany, 2022-06";med_proj_cost;111950.0
"Warszawa, Bielany, Bielany, 2022-06";sd_proj_cost;255754.91551695552
"Warszawa, Ochota, Ochota, 2022-06";sum_proj_cost;10375790.0
"Warszawa, Ochota, Ochota, 2022-06";fund_scarc;3.109021408514684
"Warszawa, Ochota, Ochota, 2022-06";avg_proj_cost;128096.17283950618
"Warszawa, Ochota, Ochota, 2022-06";med_proj_cost;80000.0
"Warszawa, Ochota, Ochota, 2022-06";sd_proj_cost;135268.36833867393
"Warszawa, Ursynów, Ursynów, 2022-06";sum_proj_cost;18401967.0
"Warszawa, Ursynów, Ursynów, 2022-06";fund_scarc;3.032700220457035
"Warszawa, Ursynów, Ursynów, 2022-06";avg_proj_cost;287530.734375
"Warszawa, Ursynów, Ursynów, 2022-06";med_proj_cost;119900.0
"Warszawa, Ursynów, Ursynów, 2022-06";sd_proj_cost;346852.78860451205
"Katowice, Brynów Część Wschodnia-Osiedle Zgrzebnioka, Brynów Część Wschodnia-Osiedle Zgrzebnioka, 2021-09";sum_proj_cost;799862.0
"Katowice, Brynów Część Wschodnia-Osiedle Zgrzebnioka, Brynów Część Wschodnia-Osiedle Zgrzebnioka, 2021-09";fund_scarc;1.631352665478293
"Katowice, Brynów Część Wschodnia-Osiedle Zgrzebnioka, Brynów Część Wschodnia-Osiedle Zgrzebnioka, 2021-09";avg_proj_cost;72714.72727272728
"Katowice, Brynów Część Wschodnia-Osiedle Zgrzebnioka, Brynów Część Wschodnia-Osiedle Zgrzebnioka, 2021-09";med_proj_cost;60000.0
"Katowice, Brynów Część Wschodnia-Osiedle Zgrzebnioka, Brynów Część Wschodnia-Osiedle Zgrzebnioka, 2021-09";sd_proj_cost;58701.206815983714
"Warszawa, Praga-Północ, Praga-Północ, 2021-06";sum_proj_cost;13191170.0
"Warszawa, Praga-Północ, Praga-Północ, 2021-06";fund_scarc;5.421878442320276
"Warszawa, Praga-Północ, Praga-Północ, 2021-06";avg_proj_cost;146568.55555555556
"Warszawa, Praga-Północ, Praga-Północ, 2021-06";med_proj_cost;61057.5
"Warszawa, Praga-Północ, Praga-Północ, 2021-06";sd_proj_cost;167277.80520971766
"Warszawa, Ursynów, Ursynów, 2021-06";sum_proj_cost;25490234.0
"Warszawa, Ursynów, Ursynów, 2021-06";fund_scarc;4.54006710474617
"Warszawa, Ursynów, Ursynów, 2021-06";avg_proj_cost;238226.48598130842
"Warszawa, Ursynów, Ursynów, 2021-06";med_proj_cost;100000.0
"Warszawa, Ursynów, Ursynów, 2021-06";sd_proj_cost;297011.05402143317
"Kraków, 2020-09";sum_proj_cost;44070800.0
"Kraków, 2020-09";fund_scarc;6.8860625
"Kraków, 2020-09";avg_proj_cost;454338.1443298969
"Kraków, 2020-09";med_proj_cost;250000.0
"Kraków, 2020-09";sd_proj_cost;463222.4701414852
"Kraków, NOWA HUTA, NOWA HUTA, 2020-09";sum_proj_cost;12322210.0
"Kraków, NOWA HUTA, NOWA HUTA, 2020-09";fund_scarc;5.832722711350942
"Kraków, NOWA HUTA, NOWA HUTA, 2020-09";avg_proj_cost;241611.96078431373
"Kraków, NOWA HUTA, NOWA HUTA, 2020-09";med_proj_cost;160000.0
"Kraków, NOWA HUTA, NOWA HUTA, 2020-09";sd_proj_cost;227906.56026503845
"Kraków, GRZEGÓRZKI, GRZEGÓRZKI, 2020-09";sum_proj_cost;3419600.0
"Kraków, GRZEGÓRZKI, GRZEGÓRZKI, 2020-09";fund_scarc;3.1152409583674956
"Kraków, GRZEGÓRZKI, GRZEGÓRZKI, 2020-09";avg_proj_cost;110309.67741935483
"Kraków, GRZEGÓRZKI, GRZEGÓRZKI, 2020-09";med_proj_cost;75000.0
"Kraków, GRZEGÓRZKI, GRZEGÓRZKI, 2020-09";sd_proj_cost;122126.70375828411
"Kraków, PODGÓRZE, PODGÓRZE, 2020-09";sum_proj_cost;6610780.0
"Kraków, PODGÓRZE, PODGÓRZE, 2020-09";fund_scarc;3.7990805126142178
"Kraków, PODGÓRZE, PODGÓRZE, 2020-09";avg_proj_cost;213250.96774193548
"Kraków, PODGÓRZE, PODGÓRZE, 2020-09";med_proj_cost;150000.0
"Kraków, PODGÓRZE, PODGÓRZE, 2020-09";sd_proj_cost;193773.85228171456
"Katowice, Murcki, Murcki, 2020-09";sum_proj_cost;1138574.0
"Katowice, Murcki, Murcki, 2020-09";fund_scarc;3.292627134573953
"Katowice, Murcki, Murcki, 2020-09";avg_proj_cost;59924.94736842105
"Katowice, Murcki, Murcki, 2020-09";med_proj_cost;33000.0
"Katowice, Murcki, Murcki, 2020-09";sd_proj_cost;62703.8211095151
"Warszawa, Ursynów, Ursynów, 2020-09";sum_proj_cost;24462226.0
"Warszawa, Ursynów, Ursynów, 2020-09";fund_scarc;4.905511520485966
"Warszawa, Ursynów, Ursynów, 2020-09";avg_proj_cost;232973.58095238096
"Warszawa, Ursynów, Ursynów, 2020-09";med_proj_cost;110208.0
"Warszawa, Ursynów, Ursynów, 2020-09";sd_proj_cost;264193.7625097582
"Kraków, PRĄDNIK BIAŁY, PRĄDNIK BIAŁY, 2019-09";sum_proj_cost;5462280.0
"Kraków, PRĄDNIK BIAŁY, PRĄDNIK BIAŁY, 2019-09";fund_scarc;3.1392413793103446
"Kraków, PRĄDNIK BIAŁY, PRĄDNIK BIAŁY, 2019-09";avg_proj_cost;143744.2105263158
"Kraków, PRĄDNIK BIAŁY, PRĄDNIK BIAŁY, 2019-09";med_proj_cost;113750.0
"Kraków, PRĄDNIK BIAŁY, PRĄDNIK BIAŁY, 2019-09";sd_proj_cost;148683.60217574658
"Kraków, GRZEGÓRZKI, GRZEGÓRZKI, 2019-09";sum_proj_cost;3280990.0
"Kraków, GRZEGÓRZKI, GRZEGÓRZKI, 2019-09";fund_scarc;4.068183508989461
"Kraków, GRZEGÓRZKI, GRZEGÓRZKI, 2019-09";avg_proj_cost;80024.14634146342
"Kraków, GRZEGÓRZKI, GRZEGÓRZKI, 2019-09";med_proj_cost;41600.0
"Kraków, GRZEGÓRZKI, GRZEGÓRZKI, 2019-09";sd_proj_cost;98361.56985465037
"Kraków, NOWA HUTA, NOWA HUTA, 2019-09";sum_proj_cost;16079510.0
"Kraków, NOWA HUTA, NOWA HUTA, 2019-09";fund_scarc;10.556400997899159
"Kraków, NOWA HUTA, NOWA HUTA, 2019-09";avg_proj_cost;255230.31746031746
"Kraków, NOWA HUTA, NOWA HUTA, 2019-09";med_proj_cost;197000.0
"Kraków, NOWA HUTA, NOWA HUTA, 2019-09";sd_proj_cost;212751.35937840567
"Kraków, 2019-09";sum_proj_cost;84976791.0
"Kraków, 2019-09";fund_scarc;8.4976791
"Kraków, 2019-09";avg_proj_cost;720142.2966101695
"Kraków, 2019-09";med_proj_cost;313525.0
"Kraków, 2019-09";sd_proj_cost;754442.0844884716
"Toulouse, 2019-09";sum_proj_cost;2452000.0
"Toulouse, 2019-09";fund_scarc;2.452
"Toulouse, 2019-09";avg_proj_cost;81733.33333333333
"Toulouse, 2019-09";med_proj_cost;39500.0
"Toulouse, 2019-09";sd_proj_cost;94377.93998364001
"Gdańsk, ORUNIA GÓRNA-GDAŃSK POŁUDNIE, ORUNIA GÓRNA-GDAŃSK POŁUDNIE, 2019-09";sum_proj_cost;2449840.0
"Gdańsk, ORUNIA GÓRNA-GDAŃSK POŁUDNIE, ORUNIA GÓRNA-GDAŃSK POŁUDNIE, 2019-09";fund_scarc;4.216592082616179
"Gdańsk, ORUNIA GÓRNA-GDAŃSK POŁUDNIE, ORUNIA GÓRNA-GDAŃSK POŁUDNIE, 2019-09";avg_proj_cost;111356.36363636363
"Gdańsk, ORUNIA GÓRNA-GDAŃSK POŁUDNIE, ORUNIA GÓRNA-GDAŃSK POŁUDNIE, 2019-09";med_proj_cost;67500.0
"Gdańsk, ORUNIA GÓRNA-GDAŃSK POŁUDNIE, ORUNIA GÓRNA-GDAŃSK POŁUDNIE, 2019-09";sd_proj_cost;108125.85842204506
"Gdańsk, OLIWA, OLIWA, 2019-09";sum_proj_cost;1514716.0
"Gdańsk, OLIWA, OLIWA, 2019-09";fund_scarc;3.1622463465553237
"Gdańsk, OLIWA, OLIWA, 2019-09";avg_proj_cost;137701.45454545456
"Gdańsk, OLIWA, OLIWA, 2019-09";med_proj_cost;29000.0
"Gdańsk, OLIWA, OLIWA, 2019-09";sd_proj_cost;188337.63845158688
"Gdańsk, OSOWA, OSOWA, 2019-09";sum_proj_cost;1955100.0
"Gdańsk, OSOWA, OSOWA, 2019-09";fund_scarc;3.99
"Gdańsk, OSOWA, OSOWA, 2019-09";avg_proj_cost;195510.0
"Gdańsk, OSOWA, OSOWA, 2019-09";med_proj_cost;155000.0
"Gdańsk, OSOWA, OSOWA, 2019-09";sd_proj_cost;152739.07456836317
"Gdańsk, PRZYMORZE WIELKIE, PRZYMORZE WIELKIE, 2019-09";sum_proj_cost;3074210.0
"Gdańsk, PRZYMORZE WIELKIE, PRZYMORZE WIELKIE, 2019-09";fund_scarc;4.0296369117839825
"Gdańsk, PRZYMORZE WIELKIE, PRZYMORZE WIELKIE, 2019-09";avg_proj_cost;161800.52631578947
"Gdańsk, PRZYMORZE WIELKIE, PRZYMORZE WIELKIE, 2019-09";med_proj_cost;90000.0
"Gdańsk, PRZYMORZE WIELKIE, PRZYMORZE WIELKIE, 2019-09";sd_proj_cost;202353.9377186649
"Gdańsk, CHEŁM, CHEŁM, 2019-09";sum_proj_cost;1177550.0
"Gdańsk, CHEŁM, CHEŁM, 2019-09";fund_scarc;1.3554064320081034
"Gdańsk, CHEŁM, CHEŁM, 2019-09";avg_proj_cost;73596.875
"Gdańsk, CHEŁM, CHEŁM, 2019-09";med_proj_cost;48650.0
"Gdańsk, CHEŁM, CHEŁM, 2019-09";sd_proj_cost;72107.65490906201
"Gdańsk, STOGI, STOGI, 2019-09";sum_proj_cost;2857700.0
"Gdańsk, STOGI, STOGI, 2019-09";fund_scarc;4.446398008402054
"Gdańsk, STOGI, STOGI, 2019-09";avg_proj_cost;317522.22222222225
"Gdańsk, STOGI, STOGI, 2019-09";med_proj_cost;162700.0
"Gdańsk, STOGI, STOGI, 2019-09";sd_proj_cost;261464.617439606
"Gdańsk, UJEŚCISKO-ŁOSTOWICE, UJEŚCISKO-ŁOSTOWICE, 2019-09";sum_proj_cost;2166115.0
"Gdańsk, UJEŚCISKO-ŁOSTOWICE, UJEŚCISKO-ŁOSTOWICE, 2019-09";fund_scarc;2.947095238095238
"Gdańsk, UJEŚCISKO-ŁOSTOWICE, UJEŚCISKO-ŁOSTOWICE, 2019-09";avg_proj_cost;135382.1875
"Gdańsk, UJEŚCISKO-ŁOSTOWICE, UJEŚCISKO-ŁOSTOWICE, 2019-09";med_proj_cost;103007.5
"Gdańsk, UJEŚCISKO-ŁOSTOWICE, UJEŚCISKO-ŁOSTOWICE, 2019-09";sd_proj_cost;168314.95832746816
"Warszawa, Ursynów, Ursynów, 2019-09";sum_proj_cost;25290105.0
"Warszawa, Ursynów, Ursynów, 2019-09";fund_scarc;5.071529526045575
"Warszawa, Ursynów, Ursynów, 2019-09";avg_proj_cost;209009.13223140495
"Warszawa, Ursynów, Ursynów, 2019-09";med_proj_cost;90000.0
"Warszawa, Ursynów, Ursynów, 2019-09";sd_proj_cost;261229.65948745736
"Kraków, PRĄDNIK BIAŁY, PRĄDNIK BIAŁY, 2018-06";sum_proj_cost;2369680.0
"Kraków, PRĄDNIK BIAŁY, PRĄDNIK BIAŁY, 2018-06";fund_scarc;4.191898107199717
"Kraków, PRĄDNIK BIAŁY, PRĄDNIK BIAŁY, 2018-06";avg_proj_cost;78989.33333333333
"Kraków, PRĄDNIK BIAŁY, PRĄDNIK BIAŁY, 2018-06";med_proj_cost;60000.0
"Kraków, PRĄDNIK BIAŁY, PRĄDNIK BIAŁY, 2018-06";sd_proj_cost;72190.69514987526
"Kraków, 2018-06";sum_proj_cost;89026779.0
"Kraków, 2018-06";fund_scarc;11.128208272396595
"Kraków, 2018-06";avg_proj_cost;723794.9512195121
"Kraków, 2018-06";med_proj_cost;300000.0
"Kraków, 2018-06";sd_proj_cost;798130.152867301
"Warszawa, Ursynów, Ursynów, 2018-06";sum_proj_cost;4570538.0
"Warszawa, Ursynów, Ursynów, 2018-06";fund_scarc;2.285269
"Warszawa, Ursynów, Ursynów, 2018-06";avg_proj_cost;78802.37931034483
"Warszawa, Ursynów, Ursynów, 2018-06";med_proj_cost;42750.0
"Warszawa, Ursynów, Ursynów, 2018-06";sd_proj_cost;100512.51197562038
"Warszawa, Ursynów Wysoki Północny, Ursynów, 2017-06";sum_proj_cost;8879127.0
"Warszawa, Ursynów Wysoki Północny, Ursynów, 2017-06";fund_scarc;3.2885655555555555
"Warszawa, Ursynów Wysoki Północny, Ursynów, 2017-06";avg_proj_cost;143211.7258064516
"Warszawa, Ursynów Wysoki Północny, Ursynów, 2017-06";med_proj_cost;69150.0
"Warszawa, Ursynów Wysoki Północny, Ursynów, 2017-06";sd_proj_cost;178532.65332680376
